[941D571A1CA088A9985B379145CDE3FA] GET http://c9sdk:password@localhost:8080/ide/ (Document)
[941D571A1CA088A9985B379145CDE3FA] GET http://c9sdk:password@localhost:8080/ide.html (Document) 200
[25102.716] GET http://c9sdk:password@localhost:8080/static/plugins/c9.ide.layout.classic/loading-flat.css (Stylesheet) 304
[25102.717] GET http://c9sdk:password@localhost:8080/static/mini_require.js (Script) 304
[25102.718] GET http://c9sdk:password@localhost:8080/configs/require_config.js (Script) 200
[25102.722] GET http://localhost:8080/static/~/amd/lib/architect/architect.js (Script) 304
[25102.723] GET http://c9sdk:password@localhost:8080/static/plugins/c9.ide.layout.classic/images/loadingbgrepeat.png (Image) 200
[25102.724] GET http://c9sdk:password@localhost:8080/static/plugins/c9.ide.layout.classic/images/c9-logo-blue@1x.png (Image) 200
[25102.725] GET http://localhost:8080/static/~/amd/lib/events.js (Script) 304
[25102.726] GET http://localhost:8080/static/~/amd/plugins/c9.core/c9.js (Script) 304
[25102.727] GET http://localhost:8080/static/~/amd/plugins/c9.core/settings.js (Script) 304
[25102.728] GET http://localhost:8080/static/~/amd/plugins/c9.core/ext.js (Script) 304
[25102.729] GET http://localhost:8080/static/~/amd/plugins/c9.core/http-xhr.js (Script) 304
[25102.730] GET http://localhost:8080/static/~/amd/plugins/c9.core/util.js (Script) 304
[25102.731] GET http://localhost:8080/static/~/amd/plugins/c9.ide.plugins/manager.js (Script) 304
[25102.732] GET http://localhost:8080/static/~/amd/plugins/c9.ide.plugins/gui.js (Script) 304
[25102.733] GET http://localhost:8080/static/~/amd/plugins/c9.vfs.client/vfs.ping.js (Script) 304
[25102.734] GET http://localhost:8080/static/~/amd/plugins/c9.vfs.client/vfs.log.js (Script) 304
[25102.735] GET http://localhost:8080/static/~/amd/plugins/c9.vfs.client/vfs_client.js (Script) 304
[25102.736] GET http://localhost:8080/static/~/amd/plugins/c9.vfs.client/endpoint.js (Script) 304
[25102.737] GET http://localhost:8080/static/~/amd/plugins/c9.ide.auth/auth.js (Script) 304
[25102.738] GET http://localhost:8080/static/~/amd/plugins/c9.core/api.js (Script) 304
[25102.739] GET http://localhost:8080/static/~/amd/plugins/c9.ide.editors/document.js (Script) 304
[25102.740] GET http://localhost:8080/static/~/amd/plugins/c9.ide.editors/editors.js (Script) 304
[25102.741] GET http://localhost:8080/static/~/amd/plugins/c9.ide.editors/editor.js (Script) 304
[25102.742] GET http://localhost:8080/static/~/amd/plugins/c9.ide.editors/imgview.js (Script) 304
[25102.743] GET http://localhost:8080/static/~/amd/plugins/c9.ide.imgeditor/imgeditor.js (Script) 304
[25102.744] GET http://localhost:8080/static/~/amd/plugins/c9.ide.editors/urlview.js (Script) 304
[25102.745] GET http://localhost:8080/static/~/amd/plugins/c9.ide.editors/tab.js (Script) 304
[25102.746] GET http://localhost:8080/static/~/amd/plugins/c9.ide.editors/tabmanager.js (Script) 304
[25102.747] GET http://localhost:8080/static/~/amd/plugins/c9.ide.editors/metadata.js (Script) 304
[25102.748] GET http://localhost:8080/static/~/amd/plugins/c9.ide.editors/pane.js (Script) 304
[25102.749] GET http://localhost:8080/static/~/amd/plugins/c9.ide.editors/undomanager.js (Script) 304
[25102.750] GET http://localhost:8080/static/~/amd/plugins/c9.ide.newresource/newresource.js (Script) 304
[25102.751] GET http://localhost:8080/static/~/amd/plugins/c9.ide.newresource/open.js (Script) 304
[25102.752] GET http://localhost:8080/static/~/amd/plugins/c9.ide.undo/undo.js (Script) 304
[25102.753] GET http://localhost:8080/static/~/amd/plugins/c9.ide.closeconfirmation/closeconfirmation.js (Script) 304
[25102.754] GET http://localhost:8080/static/~/amd/plugins/c9.ide.openfiles/openfiles.js (Script) 304
[25102.755] GET http://localhost:8080/static/~/amd/plugins/c9.ide.metrics/metrics.js (Script) 304
[25102.756] GET http://localhost:8080/static/~/amd/plugins/c9.ide.keys/commands.js (Script) 304
[25102.757] GET http://localhost:8080/static/~/amd/plugins/c9.ide.keys/editor.js (Script) 304
[25102.758] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ace/ace.js (Script) 304
[25102.759] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ace/themes.js (Script) 304
[25102.760] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ace.stripws/stripws.js (Script) 304
[25102.761] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ace.repl/editor.js (Script) 304
[25102.762] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ace.gotoline/gotoline.js (Script) 304
[25102.763] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ace.statusbar/statusbar.js (Script) 304
[25102.764] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ace.keymaps/keymaps.js (Script) 304
[25102.765] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ace.keymaps/cli.js (Script) 304
[25102.766] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ace.emmet/emmet.js (Script) 304
[25102.767] GET http://localhost:8080/static/~/amd/plugins/c9.ide.find/find.js (Script) 304
[25102.768] GET http://localhost:8080/static/~/amd/plugins/c9.ide.find/find.nak.js (Script) 304
[25102.769] GET http://localhost:8080/static/~/amd/plugins/c9.ide.find.infiles/findinfiles.js (Script) 304
[25102.770] GET http://localhost:8080/static/~/amd/plugins/c9.ide.find.replace/findreplace.js (Script) 304
[25102.771] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ui/ui.js (Script) 304
[25102.772] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ui/anims.js (Script) 304
[25102.773] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ui/tooltip.js (Script) 304
[25102.774] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ui/menus.js (Script) 304
[25102.775] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ui/forms.js (Script) 304
[25102.776] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ui/widgets.list.js (Script) 304
[25102.777] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ui/widgets.tree.js (Script) 304
[25102.778] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ui/widgets.datagrid.js (Script) 304
[25102.779] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ui/widgets.terminal.js (Script) 304
[25102.780] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ui/focus.js (Script) 304
[25102.781] GET http://localhost:8080/static/~/amd/plugins/c9.ide.ui/lib_apf.js (Script) 304
[25102.782] GET http://localhost:8080/static/~/amd/plugins/c9.ide.dialog/dialog.js (Script) 304
[25102.783] GET http://localhost:8080/static/~/amd/plugins/c9.ide.dialog.common/alert.js (Script) 304
[25102.784] GET http://localhost:8080/static/~/amd/plugins/c9.ide.dialog.common/alert_internal.js (Script) 304
[25102.785] GET http://localhost:8080/static/~/amd/plugins/c9.ide.dialog.common/confirm.js (Script) 304
[25102.786] GET http://localhost:8080/static/~/amd/plugins/c9.ide.dialog.common/filechange.js (Script) 304
[25102.787] GET http://localhost:8080/static/~/amd/plugins/c9.ide.dialog.common/fileoverwrite.js (Script) 304
[25102.788] GET http://localhost:8080/static/~/amd/plugins/c9.ide.dialog.common/fileremove.js (Script) 304
[25102.789] GET http://localhost:8080/static/~/amd/plugins/c9.ide.dialog.common/info.js (Script) 304
[25102.790] GET http://localhost:8080/static/~/amd/plugins/c9.ide.dialog.common/question.js (Script) 304
[25102.791] GET http://localhost:8080/static/~/amd/plugins/c9.ide.dialog.common/upsell.js (Script) 304
[25102.792] GET http://localhost:8080/static/~/amd/plugins/c9.ide.dialog.common/error.js (Script) 304
[25102.793] GET http://localhost:8080/static/~/amd/plugins/c9.ide.dialog.common/notification.js (Script) 304
[25102.794] GET http://localhost:8080/static/~/amd/plugins/c9.ide.dialog.login/login.js (Script) 304
[25102.795] GET http://localhost:8080/static/~/amd/plugins/c9.ide.dialog.file/file.js (Script) 304
[25102.796] GET http://localhost:8080/static/~/amd/plugins/c9.ide.dialog.wizard/wizard.js (Script) 304
[25102.797] GET http://localhost:8080/static/~/amd/plugins/c9.fs/proc.js (Script) 304
[25102.798] GET http://localhost:8080/static/~/amd/plugins/c9.fs/proc.apigen.js (Script) 304
[25102.799] GET http://localhost:8080/static/~/amd/plugins/c9.fs/net.js (Script) 304
[25102.800] GET http://localhost:8080/static/~/amd/plugins/c9.fs/fs.js (Script) 304
[25102.801] GET http://localhost:8080/static/~/amd/plugins/c9.fs/fs.errors.js (Script) 304
[25102.802] GET http://localhost:8080/static/~/amd/plugins/c9.fs/fs.cache.xml.js (Script) 304
[25102.803] GET http://localhost:8080/static/~/amd/plugins/c9.ide.readonly/access_control.js (Script) 304
[25102.804] GET http://localhost:8080/static/~/amd/plugins/c9.ide.threewaymerge/threewaymerge.js (Script) 304
[25102.805] GET http://localhost:8080/static/~/amd/plugins/c9.ide.watcher/watcher.js (Script) 304
[25102.806] GET http://localhost:8080/static/~/amd/plugins/c9.ide.watcher/gui.js (Script) 304
[25102.807] GET http://localhost:8080/static/~/amd/plugins/c9.ide.language/language.js (Script) 304
[25102.808] GET http://localhost:8080/static/~/amd/plugins/c9.ide.language.core/keyhandler.js (Script) 304
[25102.809] GET http://localhost:8080/static/~/amd/plugins/c9.ide.language.core/complete.js (Script) 304
[25102.810] GET http://localhost:8080/static/~/amd/plugins/c9.ide.language.core/quickfix.js (Script) 304
[25102.811] GET http://localhost:8080/static/~/amd/plugins/c9.ide.language.core/marker.js (Script) 304
[25102.812] GET http://localhost:8080/static/~/amd/plugins/c9.ide.language.core/refactor.js (Script) 304
[25102.813] GET http://localhost:8080/static/~/amd/plugins/c9.ide.language.core/tooltip.js (Script) 304
[25102.814] GET http://localhost:8080/static/~/amd/plugins/c9.ide.language.core/jumptodef.js (Script) 304
[25102.815] GET http://localhost:8080/static/~/amd/plugins/c9.ide.language/worker_util_helper.js (Script) 304
[25102.816] GET http://localhost:8080/static/~/amd/plugins/c9.ide.language.generic/generic.js (Script) 304
[25102.817] GET http://localhost:8080/static/~/amd/plugins/c9.ide.language.css/css.js (Script) 304
[25102.818] GET http://localhost:8080/static/~/amd/plugins/c9.ide.language.html/html.js (Script) 304
[25102.819] GET http://localhost:8080/static/~/amd/plugins/c9.ide.language.javascript/javascript.js (Script) 304
[25102.820] GET http://localhost:8080/static/~/amd/plugins/c9.ide.language.javascript.immediate/immediate.js (Script) 304
[25102.821] GET http://localhost:8080/static/~/amd/plugins/c9.ide.language.javascript.infer/jsinfer.js (Script) 304
[25102.822] GET http://localhost:8080/static/~/amd/plugins/c9.ide.language.javascript.tern/tern.js (Script) 304
